model,cv,n_neighbors,accuracy,f1,roc_auc,n_bootstrap,shrinkage,solver,bandwidth,kernel
knn,10-fold,1.0,0.5142857142857142,0.4727272727272726,0.5208333333333333,,,,,
knn,LOOCV,1.0,0.5,0.5205479452054794,0.5,,,,,
knn,5x2-stratified,1.0,0.4928571428571429,0.4767008430166324,0.4928571428571429,,,,,
knn,bootstrap_10,1.0,0.9514285714285714,0.9505339404785274,0.9514780117884832,10.0,,,,
knn,bootstrap_50,1.0,0.9514285714285714,0.9505400423889426,0.9493258493776646,50.0,,,,
knn,bootstrap_100,1.0,0.9518571428571428,0.9503946224111998,0.9510284501542658,100.0,,,,
knn,bootstrap_500,1.0,0.9568,0.956559237116112,0.9560842746084612,500.0,,,,
knn,bootstrap_1000,1.0,0.9544,0.9532846179896244,0.9537760979505234,1000.0,,,,
knn,10-fold,3.0,0.7,0.6835714285714285,0.6791666666666667,,,,,
knn,LOOCV,3.0,0.7,0.6956521739130435,0.6751020408163265,,,,,
knn,5x2-stratified,3.0,0.6428571428571428,0.6232858807858809,0.6653061224489797,,,,,
knn,bootstrap_10,3.0,0.8857142857142858,0.876052196593939,0.9547034333496524,10.0,,,,
knn,bootstrap_50,3.0,0.8691428571428571,0.870335642154346,0.944858131337185,50.0,,,,
knn,bootstrap_100,3.0,0.8777142857142857,0.8713593167260554,0.9482235313423868,100.0,,,,
knn,bootstrap_500,3.0,0.8736000000000002,0.8719943159352167,0.9448338163367188,500.0,,,,
knn,bootstrap_1000,3.0,0.8733428571428574,0.871233016732291,0.9441060203267106,1000.0,,,,
knn,10-fold,5.0,0.6714285714285714,0.653015873015873,0.65,,,,,
knn,LOOCV,5.0,0.6857142857142857,0.6764705882352942,0.6661224489795918,,,,,
knn,5x2-stratified,5.0,0.6571428571428573,0.6491577213636037,0.6602040816326531,,,,,
knn,bootstrap_10,5.0,0.8,0.8024001218821637,0.8855412245799282,10.0,,,,
knn,bootstrap_50,5.0,0.8157142857142857,0.8049280121322206,0.896980679948569,50.0,,,,
knn,bootstrap_100,5.0,0.8024285714285714,0.7986614019793543,0.8879519022954631,100.0,,,,
knn,bootstrap_500,5.0,0.8073714285714286,0.8020122981356046,0.8889828725594606,500.0,,,,
knn,bootstrap_1000,5.0,0.8114428571428572,0.8044345582124255,0.8927297782673652,1000.0,,,,
knn,10-fold,7.0,0.6428571428571428,0.6403174603174604,0.6416666666666666,,,,,
knn,LOOCV,7.0,0.6857142857142857,0.6944444444444444,0.6571428571428571,,,,,
knn,5x2-stratified,7.0,0.6500000000000001,0.6488378941320118,0.6561224489795918,,,,,
knn,bootstrap_10,7.0,0.7842857142857143,0.7550684538746937,0.8540535646534853,10.0,,,,
knn,bootstrap_50,7.0,0.7937142857142857,0.7902899919872712,0.8579268216196537,50.0,,,,
knn,bootstrap_100,7.0,0.7742857142857144,0.7606429758402301,0.8481441387204189,100.0,,,,
knn,bootstrap_500,7.0,0.7748857142857144,0.7583271255513446,0.8518912864281812,500.0,,,,
knn,bootstrap_1000,7.0,0.7709000000000001,0.7613377914919722,0.8474218757532734,1000.0,,,,
knn,10-fold,9.0,0.5999999999999999,0.5888095238095238,0.6041666666666667,,,,,
knn,LOOCV,9.0,0.5857142857142857,0.5797101449275363,0.6453061224489796,,,,,
knn,5x2-stratified,9.0,0.6285714285714286,0.6252411477411477,0.6244897959183674,,,,,
knn,bootstrap_10,9.0,0.7414285714285713,0.737078459285612,0.7927311829639628,10.0,,,,
knn,bootstrap_50,9.0,0.75,0.7344485868306146,0.8174593407001595,50.0,,,,
knn,bootstrap_100,9.0,0.7450000000000003,0.7430795689442801,0.8113606003304483,100.0,,,,
knn,bootstrap_500,9.0,0.7407428571428573,0.72918836858696,0.8072540415385456,500.0,,,,
knn,bootstrap_1000,9.0,0.7493,0.7353147249453723,0.8140564018311153,1000.0,,,,
lda,10-fold,,0.7285714285714284,0.7186507936507937,0.75,,0.0,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7363265306122448,,0.0,lsqr,,
lda,5x2-stratified,,0.7214285714285714,0.7272619047619047,0.763265306122449,,0.0,lsqr,,
lda,bootstrap_10,,0.7314285714285715,0.7276149522373369,0.7912569321895055,10.0,0.0,lsqr,,
lda,bootstrap_50,,0.7308571428571429,0.728318942471915,0.7885319337297595,50.0,0.0,lsqr,,
lda,bootstrap_100,,0.725,0.7285588185845014,0.7796780240477278,100.0,0.0,lsqr,,
lda,bootstrap_500,,0.7261142857142856,0.7279027149829851,0.7821134518643551,500.0,0.0,lsqr,,
lda,bootstrap_1000,,0.7238285714285714,0.7228905268796627,0.7817134940102469,1000.0,0.0,lsqr,,
lda,10-fold,,0.7285714285714284,0.7186507936507937,0.75,,0.01,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7355102040816326,,0.01,lsqr,,
lda,5x2-stratified,,0.7214285714285714,0.7272619047619047,0.7612244897959185,,0.01,lsqr,,
lda,bootstrap_10,,0.72,0.7324481704156371,0.7837129882073979,10.0,0.01,lsqr,,
lda,bootstrap_50,,0.7245714285714286,0.7335536680308623,0.7819915692265458,50.0,0.01,lsqr,,
lda,bootstrap_100,,0.7161428571428572,0.7173686398488225,0.7737057723184168,100.0,0.01,lsqr,,
lda,bootstrap_500,,0.7184285714285713,0.7187560173228458,0.7786918050977604,500.0,0.01,lsqr,,
lda,bootstrap_1000,,0.7192999999999999,0.7202613665365513,0.7773796248674837,1000.0,0.01,lsqr,,
lda,10-fold,,0.7285714285714284,0.7186507936507937,0.75,,0.02,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7355102040816326,,0.02,lsqr,,
lda,5x2-stratified,,0.7214285714285714,0.7272619047619047,0.7591836734693878,,0.02,lsqr,,
lda,bootstrap_10,,0.7114285714285714,0.7316932620111471,0.7548177732020649,10.0,0.02,lsqr,,
lda,bootstrap_50,,0.7405714285714285,0.7441340603969131,0.7983770051444652,50.0,0.02,lsqr,,
lda,bootstrap_100,,0.7081428571428572,0.7045533555910787,0.7655875884703969,100.0,0.02,lsqr,,
lda,bootstrap_500,,0.7245714285714285,0.7236749118752989,0.7793141901966754,500.0,0.02,lsqr,,
lda,bootstrap_1000,,0.7233285714285714,0.7250862575343235,0.7811076952985652,1000.0,0.02,lsqr,,
lda,10-fold,,0.7285714285714284,0.7186507936507937,0.75,,0.03,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7363265306122448,,0.03,lsqr,,
lda,5x2-stratified,,0.7214285714285714,0.7272619047619047,0.7591836734693878,,0.03,lsqr,,
lda,bootstrap_10,,0.6771428571428572,0.670570676875332,0.7674888408528007,10.0,0.03,lsqr,,
lda,bootstrap_50,,0.7317142857142857,0.7341482404266011,0.7903438065507556,50.0,0.03,lsqr,,
lda,bootstrap_100,,0.7204285714285714,0.7204002515828556,0.7754500473704696,100.0,0.03,lsqr,,
lda,bootstrap_500,,0.7193428571428572,0.7231760254035734,0.778004391276459,500.0,0.03,lsqr,,
lda,bootstrap_1000,,0.7214857142857143,0.7209983657719324,0.7792923504089504,1000.0,0.03,lsqr,,
lda,10-fold,,0.7285714285714284,0.7186507936507937,0.7583333333333333,,0.04,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7371428571428571,,0.04,lsqr,,
lda,5x2-stratified,,0.7214285714285714,0.7272619047619047,0.7612244897959183,,0.04,lsqr,,
lda,bootstrap_10,,0.7342857142857142,0.7661953018774147,0.7978482585625425,10.0,0.04,lsqr,,
lda,bootstrap_50,,0.7188571428571429,0.7220770508459505,0.7832939773738212,50.0,0.04,lsqr,,
lda,bootstrap_100,,0.728,0.7233127680351297,0.7900567378051464,100.0,0.04,lsqr,,
lda,bootstrap_500,,0.7223714285714286,0.7218927946067952,0.7796405593310191,500.0,0.04,lsqr,,
